alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1788985270.6203,elite,5053.1859323281,1762437732.6182,"AS51167 Contabo GmbH",CONTABO,Lauterbourg,Europe,EU,France,FR,,true,"Contabo GmbH",48.9742,8.1851,false,"Contabo GmbH",true,"Grand Est",success,Europe/Paris,67630,1788446969,1788985270.6203,8080,http,207.180.254.198:8080,false,4582.615852356,228890,199290,53.456490261105,207.180.254.198
true,1788984997.9068,elite,4082.0109409755,1730483318.0993,"AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED",UCLOUD-HK-AS-AP,"Ho Chi Minh City",Asia,AS,Vietnam,VN,,true,"UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED",10.822,106.6257,false,"Ucloud Information Technology (hk) Limited",true,"Ho Chi Minh",success,Asia/Ho_Chi_Minh,700000,1788777439,1788985270.3233,8168,http,123.58.199.232:8168,false,4594.5405960083,142541,324597,30.513681182006,123.58.199.232
true,1788985122.2526,anonymous,9498.6330031154,1720310577.3521,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,"Santa Clara","North America",NA,"United States",US,,true,OPHL,37.353,-121.9544,false,"Tencent cloud computing (Beijing) Co., Ltd.",true,California,success,America/Los_Angeles,95052,1788794126,1788985270.1488,8888,http,49.51.244.112:8888,false,13484.689474106,55501,455107,10.869590762385,49.51.244.112
true,1788985269.5719,transparent,12168.908949644,1756137590.416,"AS149360 PT Indo Telemedia Solusi",IDNIC-INTELMEDIA-AS-ID,Comal,Asia,AS,Indonesia,ID,,false,"PT Indo Telemedia Solusi",-6.9053,109.535,false,"PT. SMART COMPUTER SERVICE",true,"Central Java",success,Asia/Jakarta,,1788797236,1788985269.5719,3125,http,160.19.18.129:3125,false,13908.310890198,5247,103017,4.8464863666593,160.19.18.129
true,1788985268.5952,elite,10195.922965227,1788701966.205,"AS20454 SECURED SERVERS LLC",SSASN2,Phoenix,"North America",NA,"United States",US,,true,"Secured Servers LLC",33.4532,-112.0748,false,"Secured Servers LLC",true,Arizona,success,America/Phoenix,85001,1788699725,1788985268.5952,33143,http,174.138.165.202:33143,false,10188.362360001,86,1464,5.5483870967742,174.138.165.202
true,1788985268.5865,transparent,5438.806662864,1750609923.4825,"AS16276 OVH SAS",OVH,Roubaix,Europe,EU,France,FR,,true,"OVH SAS",50.6924,3.20113,false,"OVH SAS",true,Hauts-de-France,success,Europe/Paris,59100,1788859055,1788985268.5865,10111,http,37.187.109.70:10111,true,11207.337856293,199708,279852,41.644007006423,37.187.109.70
true,1788985268.2645,transparent,5733.9248353113,1783278731.1273,"AS17995 PT iForte Global Internet",SOLUSINET-AS-ID,Malang,Asia,AS,Indonesia,ID,,false,"PT iForte Global Internet",-7.9797,112.63,false,Iforte,true,"East Java",success,Asia/Jakarta,,1788720442,1788985268.2645,8080,http,103.158.162.226:8080,false,7333.309173584,14780,37429,28.309295332222,103.158.162.226
true,1788985267.6179,transparent,6489.1823784472,1723786628.284,"AS7713 PT Telekomunikasi Indonesia",telkomnet-as-ap,"East Jakarta",Asia,AS,Indonesia,ID,,false,"Telekomunikasi Indonesia",-6.2286,106.8796,false,,true,Jakarta,success,Asia/Jakarta,13410,1788435391,1788985267.6179,8080,http,36.66.121.131:8080,false,11899.467945099,62981,500106,11.184950105401,36.66.121.131
true,1788985161.4767,transparent,5779.0522018392,1774876596.7738,"AS142386 PT JARINGAN LINTAS ARTHA",AZNET-ID,Karangampel,Asia,AS,Indonesia,ID,,false,AZNET,-6.46222,108.452,false,,true,"West Java",success,Asia/Jakarta,,1788776305,1788985267.4367,8989,http,103.172.71.140:8989,false,4261.5404129028,23609,83885,21.963086311794,103.172.71.140
true,1788981639.9027,transparent,1678.3717174095,1787937028.9058,"AS270111 Comunicación por Fibra SA de CV","Comunicacion por Fibra SA de CV",Mérida,"North America",NA,Mexico,MX,,false,"Comunicación por Fibra SA de CV",20.9867,-89.6452,false,"Comunicación por Fibra SA de CV",true,Yucatán,success,America/Merida,97000,1788540522,1788985267.2645,999,http,189.51.168.164:999,true,429.77142333984,17449,731,95.979097909791,189.51.168.164
