url,metadata_reference
https://medicarerrview08auth.sbs/cuvvv/personal.html,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://medicarerrview08auth.sbs/cuvvv/otp2.html,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://lawrence-id7954.vercel.app/notification/metaplatforms.html,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://ipfs.io/ipfs/bafkreifv6z4xvr2xjnngqjdrmczeebdmj23z4npwl7fszbnucuf2zv5tqa/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://dk-anleger.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://jonahen-id7980-umu9.vercel.app/notification/metaplatforms.html,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://natco.com.ng/dhlexp2m/dhl/info.php,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://aktifkan-paylatersx.resmi-izd2.my.id/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://smartcoop.pages.dev/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://511577555.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://55100004.vip/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://blaze207.github.io/discordclone2/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://resolver-daa.pages.dev/m/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://my--ndax-help-aauth.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://auth--trezor--take-io-auths.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://let-ledgrcom-stert.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://ledger--apps-sso.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://logon--trzr--support.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://logonin-leidgar.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://hub-learn-apps-ledgre.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://ledger-tm-live-app-secure.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://secure-apps-app-ledegr.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://logon-sso-tterzor.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://startldger-com.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://start-ldgeazr-ledgerrlive.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://walletrezorrt.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://sso--trezroo-start-cdn.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://start--io-trzexsor.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://start-ldgger-aauth.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://startedtiuzor.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://trezor-auth--io-start.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://secure---l-edger---auth.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://trezor-io--strtt.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://support-treaz-hardware-wallet.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://trezorr-wallet--web.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www-legercomstartr.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://strtio--com--ledgr.webflow.io/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://dgsjhagd.asia/N8nj9APl2e/?kkwqnd=3Dhfquramj/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://jishnu339.github.io/newproject/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
