dest_nt_domain,dest_port,dest_ip
us-dal.prod.surfshark.com,1194,2.56.189.82
us-sea.prod.surfshark.com,1194,212.102.46.71
us-chi.prod.surfshark.com,1194,154.47.25.11
us-oma.prod.surfshark.com,1443,145.223.7.16
md-chi.prod.surfshark.com,1194,217.9.245.83
mk-skp.prod.surfshark.com,1443,217.9.244.99
in-mum.prod.surfshark.com,1443,176.227.240.42
rs-beg.prod.surfshark.com,1194,37.120.193.227
bz-blp.prod.surfshark.com,1443,212.119.33.36
ar-bua.prod.surfshark.com,1443,89.117.41.37
hu-bud.prod.surfshark.com,1194,146.70.120.13
au-mel.prod.surfshark.com,1443,103.192.80.253
ba-sjj.prod.surfshark.com,1194,23.27.109.51
la-vte.prod.surfshark.com,1194,194.169.168.22
us-kan.prod.surfshark.com,1194,74.80.182.87
kr-seo.prod.surfshark.com,1443,93.152.212.66
be-bru.prod.surfshark.com,1443,79.127.164.9
br-sao.prod.surfshark.com,1194,146.70.248.3
ph-mnl.prod.surfshark.com,1194,23.27.183.20
uz-tas.prod.surfshark.com,1443,94.154.124.101
hr-zag.prod.surfshark.com,1443,149.102.247.135
nz-akl.prod.surfshark.com,1194,180.149.231.43
bn-bwn.prod.surfshark.com,1443,62.197.158.46
uy-mvd.prod.surfshark.com,1194,212.119.32.36
au-per.prod.surfshark.com,1194,124.150.139.59
es-mad.prod.surfshark.com,1443,45.134.213.245
fr-bod.prod.surfshark.com,1194,45.134.79.163
me-tgd.prod.surfshark.com,1443,62.197.159.20
pk-khi.prod.surfshark.com,1194,113.203.221.17
li-qvu.prod.surfshark.com,1443,62.197.150.53
cy-nic.prod.surfshark.com,1443,193.19.204.78
az-bak.prod.surfshark.com,1194,23.27.110.37
us-hou.prod.surfshark.com,1443,149.40.56.17
us-dal.prod.surfshark.com,1443,2.56.189.82
at-vie.prod.surfshark.com,1443,87.249.133.14
uy-mvd.prod.surfshark.com,1443,212.119.32.36
de-ber.prod.surfshark.com,1443,89.36.76.115
